Genre,Cluster k3,Cluster k4,Cluster k5
country,2,3,2
adult standards,0,2,1
adult standards,0,0,1
adult standards,0,2,4
adult standards,0,2,4
adult standards,0,0,1
adult standards,0,2,4
rock,0,0,1
rock,0,2,4
rock,0,2,4
surf,0,2,4
adult standards,0,2,4
adult standards,0,0,1
rock,0,2,4
adult standards,0,0,1
adult standards,0,2,4
adult standards,0,2,4
adult standards,0,2,4
adult standards,0,2,4
adult standards,0,2,4
r&b,0,2,4
jazz,0,2,4
adult standards,0,2,1
r&b,0,2,4
adult standards,0,2,1
rock,0,2,4
r&b,0,2,4
adult standards,0,2,4
adult standards,0,2,4
rock,0,2,1
rock,0,2,4
country,0,2,4
r&b,0,2,4
rock,0,2,4
N/A,0,2,4
surf,0,2,4
N/A,0,0,1
N/A,0,2,4
adult standards,0,2,4
r&b,0,2,4
hip hop,0,0,1
adult standards,0,2,4
adult standards,0,2,4
rock,0,2,4
adult standards,0,2,4
N/A,2,0,1
adult standards,0,2,4
N/A,2,0,1
adult standards,0,2,4
adult standards,2,3,2
adult standards,0,2,4
adult standards,0,2,4
adult standards,0,0,1
adult standards,0,0,1
hip hop,0,2,1
adult standards,0,2,4
adult standards,0,2,4
rock,0,2,4
adult standards,0,2,4
adult standards,0,2,4
adult standards,0,2,4
N/A,0,2,4
r&b,0,2,4
adult standards,0,2,4
r&b,0,2,4
adult standards,0,2,4
N/A,0,2,1
adult standards,0,2,4
r&b,0,2,4
adult standards,0,2,4
adult standards,2,3,3
rock,0,2,4
r&b,0,2,4
adult standards,2,0,1
N/A,0,2,4
pop,0,2,4
rock,0,2,1
adult standards,0,2,4
rock,0,2,4
adult standards,2,0,1
adult standards,0,0,1
adult standards,0,2,4
adult standards,0,2,4
N/A,0,2,4
adult standards,0,2,4
N/A,0,2,4
r&b,0,2,4
rock,0,2,4
rock,0,0,1
adult standards,0,0,1
r&b,0,2,4
adult standards,0,2,4
rock,0,2,4
pop,0,2,4
rock,0,0,1
adult standards,0,2,4
N/A,0,0,1
N/A,0,2,4
adult standards,0,2,4
N/A,0,2,4
adult standards,0,2,4
adult standards,0,2,4
adult standards,0,2,4
rock,0,2,4
r&b,0,2,4
adult standards,0,2,4
rock,0,2,4
r&b,0,2,4
rock,0,2,1
rock,0,2,4
adult standards,0,2,4
adult standards,0,2,4
adult standards,0,2,4
rock,0,2,4
adult standards,2,3,2
r&b,2,0,1
adult standards,0,2,4
adult standards,0,2,4
adult standards,0,0,1
rock,0,2,4
adult standards,0,2,4
adult standards,0,2,4
adult standards,0,2,4
adult standards,0,2,4
surf,0,2,4
adult standards,0,0,1
adult standards,0,0,1
country,2,3,2
rock,0,0,1
adult standards,0,2,4
r&b,0,0,1
adult standards,0,2,4
adult standards,0,2,4
adult standards,0,2,4
rock,0,2,4
adult standards,0,2,4
rock,0,2,4
rock,0,2,4
adult standards,0,2,4
r&b,0,2,4
adult standards,0,2,4
N/A,0,0,1
adult standards,0,2,4
N/A,0,2,4
rock,0,2,4
r&b,2,0,1
adult standards,0,2,4
N/A,0,2,4
r&b,0,2,4
adult standards,0,2,4
N/A,0,2,4
adult standards,0,2,4
adult standards,0,2,1
adult standards,0,2,1
N/A,0,2,4
adult standards,0,2,4
N/A,0,2,4
adult standards,0,2,4
adult standards,0,2,4
adult standards,0,0,1
N/A,0,2,4
soul,0,2,4
r&b,0,2,4
N/A,0,2,4
r&b,0,0,1
adult standards,0,2,4
rock,0,2,4
adult standards,0,2,4
adult standards,0,2,4
adult standards,0,2,4
adult standards,0,0,1
adult standards,0,2,4
adult standards,0,2,4
adult standards,0,2,4
adult standards,2,3,2
adult standards,0,2,4
adult standards,0,2,4
adult standards,0,2,4
N/A,0,2,4
rock,0,2,4
N/A,0,2,4
adult standards,0,2,4
rock,0,2,4
N/A,0,2,4
adult standards,0,2,4
rock,0,2,4
adult standards,0,2,4
pop,0,2,4
jazz,0,2,4
rock,0,2,4
adult standards,0,2,4
rock,0,2,1
rock,0,2,4
adult standards,0,2,4
adult standards,0,2,4
adult standards,0,2,4
r&b,0,0,1
r&b,0,2,4
rock,0,2,4
adult standards,0,2,4
r&b,0,2,1
adult standards,0,2,4
country,0,2,4
rock,0,2,4
adult standards,0,2,4
r&b,0,2,4
rock,2,0,1
surf,0,2,4
r&b,0,2,4
adult standards,0,2,4
adult standards,0,2,4
adult standards,0,2,4
rock,0,2,4
adult standards,0,2,4
soul,0,2,4
adult standards,0,2,4
adult standards,0,2,4
adult standards,0,2,4
adult standards,2,0,2
adult standards,0,2,4
funk,0,2,4
rock,0,0,1
adult standards,0,2,4
r&b,2,3,2
r&b,0,0,1
adult standards,0,2,4
r&b,0,2,4
adult standards,0,2,4
adult standards,0,2,4
adult standards,0,2,4
rock,0,0,1
rock,2,0,1
adult standards,0,0,1
blues,2,0,1
N/A,0,2,4
pop,0,2,4
adult standards,0,2,4
adult standards,0,2,4
rock,0,0,1
rock,0,2,4
N/A,0,2,4
adult standards,0,2,4
adult standards,0,2,4
blues,0,2,4
country,0,2,4
rock,2,0,2
adult standards,0,2,4
adult standards,0,2,4
adult standards,0,2,4
r&b,0,2,4
rock,0,2,4
pop,0,2,4
funk,0,2,4
rock,0,0,1
N/A,0,2,4
r&b,0,2,4
adult standards,0,2,4
adult standards,0,2,4
adult standards,0,2,4
adult standards,0,2,4
adult standards,0,2,4
r&b,0,2,4
rock,0,2,4
rock,0,2,4
funk,2,0,2
N/A,0,2,4
N/A,0,0,1
adult standards,0,2,4
r&b,0,2,4
rock,0,2,4
rock,0,2,4
adult standards,0,2,4
adult standards,0,2,4
pop,0,2,4
r&b,2,0,1
r&b,0,2,4
r&b,0,2,4
r&b,0,2,4
rock,2,0,1
