Word,Valence Mean,Arousal Mean,Dominance Mean,Happiness Mean,Anger Mean,Sadness Mean,Fear Mean,Disgust Mean
abduction,2.76,5.53,3.49,1.13,3.53,3.73,3.6,3.19
abortion,3.5,5.39,4.59,1.29,2.58,3.4,2.42,2.97
absurd,4.26,4.36,4.73,1.52,1.87,1.35,1.48,1.48
abundance,6.59,5.51,5.8,3.06,1.19,1.16,1.16,1.32
abuse,1.8,6.83,3.69,1.07,3.77,3.7,3.13,3.6
acceptance,7.98,5.4,6.64,3.39,1.19,1.58,1.71,1.32
accident,2.05,6.26,3.76,1.1,2.41,3.1,3.24,1.9
ace,6.88,5.5,6.39,3.32,1.25,1.04,1.46,1.11
ache,2.46,5,3.54,1.2,2.28,2.23,2.1,1.86
achievement,7.89,5.53,6.56,4.25,1.04,1.04,1.36,1.14
activate,5.46,4.86,5.43,1.94,1.42,1.26,1.45,1.32
addict,2.48,5.66,3.72,1.23,2.19,2.81,2.29,2.71
addicted,2.51,4.81,3.46,1.32,2.42,2.65,2.65,2.65
admired,7.74,6.11,7.53,3.41,1.34,1.24,1.62,1.38
adorable,7.81,5.12,5.74,3.68,1.11,1.11,1.14,1.11
adult,6.49,4.76,5.75,2.21,1.21,1.32,1.71,1.07
advantage,6.95,4.76,6.36,3.29,1.43,1.14,1.21,1.21
adventure,7.6,6.98,6.46,3.79,1.04,1.04,2,1
affection,8.39,6.21,6.08,3.97,1.33,1.43,1.37,1.17
afraid,2,6.67,3.98,1.23,2.27,2.7,4.2,1.7
aggressive,5.1,5.83,5.59,1.94,3.08,1.4,2.32,1.65
agility,6.46,4.85,5.87,3.1,1.28,1,1.1,1.1
agony,2.43,6.06,4.02,1.1,2.39,3,2.48,1.68
agreement,7.08,5.02,6.22,3.06,1.32,1.39,1.19,1.23
air,6.34,4.12,5.1,2.36,1,1.04,1.14,1.11
alcoholic,2.84,5.69,4.45,1.5,2.54,3.21,2.82,2.39
alert,6.2,6.85,5.96,1.87,1.63,1.27,2.2,1.4
alien,5.6,5.45,4.64,1.48,1.58,1.32,2,1.52
alimony,3.95,4.3,4.63,1.5,2,2.36,1.86,1.75
alive,7.25,5.5,6.39,4.14,1.11,1.11,1.21,1.07
allergy,3.07,4.64,3.21,1.23,2.1,1.97,1.87,2.43
alley,4.48,4.91,4,1.76,1.28,1.52,2.55,1.59
alone,2.41,4.83,3.7,1.21,1.71,3.5,2.82,1.57
aloof,4.9,4.28,4.69,2,1.51,1.55,1.47,1.46
ambition,7.04,5.61,6.93,3.43,1.37,1.47,1.83,1.3
ambulance,2.47,7.33,3.22,1.21,1.68,3.25,3.21,1.36
angel,7.53,4.83,4.97,4.36,1,1.07,1.18,1
anger,2.34,7.63,5.5,1.07,4.4,2.5,2.23,1.97
angry,2.85,7.17,5.55,1.03,4.48,2.45,2.55,2.14
anguished,2.12,5.33,3.45,1.21,2.51,3.16,2.3,2.48
ankle,5.27,4.16,4.77,1.5,1.25,1.25,1.29,1.21
annoy,2.74,6.49,5.09,1.1,3.63,1.67,1.73,2.77
answer,6.63,5.41,5.85,2.3,1.37,1.4,1.67,1.13
anxious,4.81,6.92,5.33,2,1.67,1.83,2.33,1.43
applause,7.5,5.8,6.48,3.6,1.17,1.03,1.14,1.03
appliance,5.1,4.05,5.05,1.79,1.21,1.18,1.25,1.11
arm,5.34,3.59,5.07,1.86,1.28,1.03,1.17,1.17
army,4.72,5.03,5.03,2.13,2.32,1.94,2.68,1.55
aroused,7.97,6.63,6.14,4.31,1.07,1.1,1.34,1.28
arrogant,3.69,5.65,5.14,1.39,2.87,1.45,1.48,2.35
art,6.68,4.86,5.3,3,1.65,1.74,1.52,1.55
assassin,3.09,6.28,4.33,1.07,3.07,2.07,3.32,2.04
assault,2.03,7.51,3.94,1.21,3.76,3.07,3.45,2.93
astonished,6.56,6.58,5.16,2.03,1.32,1.26,1.52,1.13
astronaut,6.66,5.28,5.2,3.03,1.17,1.28,1.79,1.1
athletics,6.61,6.1,6.12,4.03,2,1.62,1.55,1.48
autumn,6.3,4.51,5.15,3.39,1.26,1.58,1.26,1.16
avalanche,3.29,5.54,3.61,1.31,2,2.31,3.83,1.62
avenue,5.5,4.12,5.4,1.86,1.21,1.17,1.17,1.21
awed,6.7,5.74,5.3,3.34,1.53,1.64,1.31,1.19
baby,8.22,5.53,5,4.17,1.1,1.3,1.47,1.2
bake,6.17,5.1,5.49,3,1.11,1.04,1.25,1
bandage,4.54,3.9,4.52,1.14,1.36,1.64,1.71,1.64
bankrupt,2,6.21,3.27,1.06,2.48,2.87,2.74,2.1
banner,5.4,3.83,4.8,2.03,1.2,1.1,1.1,1.17
bar,6.42,5,5.47,3.06,1.35,1.39,1.19,1.42
barrel,5.05,3.36,4.89,1.42,1.16,1.16,1.16,1.16
basket,5.45,3.63,5.76,2,1.1,1.24,1.14,1.1
bastard,3.36,6.07,4.17,1.33,3.2,2.37,1.6,2.2
bath,7.33,4.16,6.41,3.33,1.3,1.17,1.2,1.53
bathroom,5.55,3.88,5.65,1.75,1.07,1.04,1.29,2.11
bathtub,6.69,4.36,5.76,2.61,1.07,1.07,1.14,1.21
beach,8.03,5.53,5.44,4.03,1.2,1.37,1.43,1.2
beast,4.23,5.57,4.89,1.39,1.89,1.39,2.89,1.61
beautiful,7.6,6.17,6.29,4.31,1.24,1.24,1.31,1.14
beauty,7.82,4.95,5.53,4.28,1.17,1.28,1.07,1.1
bed,7.51,3.61,6.88,3.63,1.13,1.63,1.37,1.23
bees,3.2,6.51,4.16,1.31,2.66,1.21,3,1.97
beggar,3.22,4.91,4.09,1.18,2.15,3.19,1.46,1.68
bench,4.61,3.59,4.68,1.21,1.32,1.36,1.25,1.14
bereavement,4.57,4.2,4.33,1.31,1.89,2.09,1.55,1.5
betray,1.68,7.24,4.92,1.14,4.1,3.03,2.7,3.24
beverage,6.83,5.21,5.63,3.29,1.21,1.14,1.11,1.07
bird,7.27,3.17,4.42,2.75,1.11,1.14,1.18,1.21
birthday,7.84,6.68,5.89,4.48,1.03,1.19,1.16,1.03
black,5.39,4.61,5.14,1.43,2.57,2.67,2.47,2.27
blackmail,2.95,6.03,3.54,1,3.61,2.43,2.71,2.5
bland,4.1,3.29,4.88,1.27,1.5,1.73,1.3,1.93
