Year,Chart,Artist,Song,Genre,Original Genre
1959,1,The Battle of New Orleans,Johnny Horton,country,cowboy western
1959,2,Mack the Knife,Bobby Darin,adult standards,adult standards easy listening lounge
1959,3,Personality,Lloyd Price,adult standards,adult standards doo-wop louisiana blues
1959,4,Venus,Frankie Avalon,adult standards,adult standards bubblegum pop doo-wop
1959,5,Lonely Boy,Paul Anka,adult standards,adult standards canadian pop easy listening
1959,6,Dream Lover,Bobby Darin,adult standards,adult standards easy listening lounge
1959,7,The Three Bells,The Browns,adult standards,deep adult standards nashville sound vocal harmony group
1959,8,Come Softly to Me,The Fleetwoods,rock,adult standards doo-wop rock-and-roll
1959,9,Kansas City,Wilbert Harrison,rock,rhythm and blues rock-and-roll
1959,10,Mr. Blue,The Fleetwoods,rock,adult standards doo-wop rock-and-roll
1959,11,Sleep Walk,Santo & Johnny,surf,space age pop surf music
1959,12,Put Your Head on My Shoulder,Paul Anka,adult standards,adult standards canadian pop easy listening
1959,13,Stagger Lee,Lloyd Price,adult standards,adult standards doo-wop louisiana blues
1959,14,Donna,Ritchie Valens,rock,adult standards rock-and-roll rockabilly
1959,15,Pink Shoe Laces,Dodie Stevens,adult standards,deep adult standards
1959,16,Smoke Gets in Your Eyes,The Platters,adult standards,adult standards doo-wop easy listening
1959,17,Charlie Brown,The Coasters,adult standards,adult standards bubblegum pop doo-wop
1959,18,Quiet Village,Martin Denny,adult standards,easy listening exotica lounge
1959,19,My Heart Is an Open Book,Carl Dobkins Jr.,adult standards,deep adult standards
1959,20,(Till) I Kissed You,The Everly Brothers,adult standards,adult standards bubblegum pop lounge
1959,21,Sea of Love,Phil Phillips,r&b,doo-wop
1959,22,The Happy Organ,Dave Baby Cortez,jazz,hammond organ jazz organ
1959,23,I'm Gonna Get Married,Lloyd Price,adult standards,adult standards doo-wop louisiana blues
1959,24,Sorry (I Ran All the Way Home),The Impalas,r&b,doo-wop rhythm and blues
1959,25,A Teenager in Love,Dion and the Belmonts,adult standards,adult standards brill building pop doo-wop
1959,26,16 Candles,The Crests,rock,doo-wop rhythm and blues rock-and-roll
1959,27,It's Just a Matter of Time,Brook Benton,r&b,rhythm and blues soul southern soul
1959,28,Lipstick on Your Collar,Connie Francis,adult standards,adult standards brill building pop lounge
1959,29,There Goes My Baby,The Drifters,adult standards,adult standards bubblegum pop lounge
1959,30,A Big Hunk o' Love,Elvis Presley,rock,rock-and-roll rockabilly
