Year,Chart,Hapax Count,Hapaxes
1959,1,73,"['battle', '1814', 'trip', 'along', 'colonel', 'jackson', 'mighty', 'mississip', 'bacon', 'beans', 'caught', 'bloody', 'town', 'near', 'river', 'd', 'come', 'must', 'have', 'been', 'hundred', 'ofem', 'beatin', 'drums', 'stepped', 'high', 'made', 'bugles', 'ring', 'stood', 'beside', 'cotton', 'bales', 'say', 'thing', 'old', 'hickory', 'said', 'take', 'by', 'surprise', 'if', 'muskets', 'eye', 'held', 'faces', 'then', 'opened', 'up', 'squirrel', 'really', 'gave', 'til', 'barrel', 'melted', 'grabbed', 'an', 'alligator', 'another', 'round', 'filled', 'head', 'balls', 'powdered', 'behind', 'when', 'touched', 'powder', 'off', 'gator', 'lost', 'mind', '1']"
1959,2,79,"['such', 'shows', 'them', 'pearly', 'white', 'jackknife', 'old', 'keeps', 'outta', 'sight', 'when', 'bites', 'with', 'scarlet', 'billows', 'start', 'to', 'spread', 'fancy', 'gloves', 'though', 'wears', 'so', 'trace', 'of', 'red', 'side', 'walk', 'sunday', 'morning', 'uh', 'huh', 'lies', 'body', 'oozing', 'life', 'eek', 'sneaking', 'round', 'corner', 'tugboat', 'by', 'river', 'do', 'nt', 'where', 'bag', 'drooping', 'for', 'weight', 'five', 'll', 'get', 'ten', 'did', 'hear', 'bout', 'louie', 'miller', 'disappeared', 'after', 'drawing', 'all', 'hard', 'earned', 'cash', 'spends', 'like', 'sailor', 'our', 'boy', 'done', 'something', 'rash', 'i', 'said', 'woah', 'yes', '6']"
1959,3,13,"['tried', 'prove', 'friend', 'said', 'that', 'honey', 'it', 's', 'the', 'truth', 'they', 'still', 'whoa']"
1959,4,23,"['please', 'send', 'little', 'thrill', 'who', 'wants', 'kisses', 'arms', 'charms', 'fair', 'lovely', 'sunlight', 'hair', 'take', 'brightest', 'stars', 'up', 'skies', 'place', 'them', 'eyes', 'wish', 'come']"
1959,5,34,"['yes', 'kiss', 'hold', 'at', 'moment', 'this', 'd', 'hear', 'say', 'give', 'my', 'each', 'night', 'day', 'paul', 'anka', 'live', '$', '89', 'please', 'send', 'me', 'make', 'happy', 'wait', 'prayed', 'so', 'hard', 'the', 'heavens', 'above', 'that', 'might', 'find']"
1959,6,32,"['every', 'night', 'pray', 'will', 'in', 'arms', 'magic', 'of', 'charms', 'where', 'are', 'with', 'oh', 'hand', 'can', 'feel', 'near', 'as', 'grow', 'old', 'bridge', 'someday', 'hear', 'plea', 'some', 'bring', 'please', 'beg', 'no', 'wan', 'na', '4']"
1959,7,56,"['three', 'les', 'trois', 'cloches', 'among', 'pine', 'trees', 'half', 'forlorn', 'on', 'sunny', 'born', 'baby', 'hour', 'meditation', 'guide', 'him', 'beneath', 'mountains', 'high', 'twenty', 'years', 'thereafter', 'meet', 'day', 'life', 'cause', 'wife', 'o', 'lord', 'celebration', 'their', 'lives', 'be', 'filled', 'rainy', 'dark', 'gray', 'winged', 'its', 'way', 'heaven', 'had', 'passed', 'away', 'just', 'lonely', 'bell', 'farewell', 'it', 'our', 'dear', 'old', 'find', 'salvation', 'thy']"
1959,8,25,"['stay', 're', 'my', 'obsession', 'forever', 'a', 'day', 'doby', 'tight', 'the', 'night', 'speak', 'hear', 'what', 'say', 've', 'long', 'for', 'kisses', 'above', 'need', 'ineed', 'much', 'feel', 'touch']"
1959,9,30,"['my', 'bottle', 'of', 'wine', '1', 'well', 'train', 'plane', 'could', 'walk', 'just', 'same', 'ah', 'you', 'mercy', 'instrumental', 'break', 'aw', '2', 'now', 'stay', 'woman', 'die', 'ta', 'find', 'brand', 'new', 's', 'reason', 'why']"
1959,10,44,"['our', 'guardian', 'star', 'glow', 'he', 'glitter', 'said', 'no', 'silver', 'turned', 'like', 'him', 'am', 'doubtful', 'if', 'decide', 'ask', 'prove', 'goin', 'out', 'sly', 'provin', 're', 'sorry', 'around', 'headin', 'lights', 'of', 'hurtin', 'bridge', 'hurt', 'my', 'pride', 'mister', 'tell', 'while', 'paint', 'a', 'bright', 'red', 'upside', 'down', 'too', '1']"
