Year,Chart,Artist,Song,Genre Combined,Genre 1,Genre 2,Genre 3,Word count,Unique Word Count,Cluster k3,Cluster k4,Cluster k5
1959,1,Johnny Horton,The Battle of New Orleans,cowboy western,cowboy western,,,514,141,2,3,2
1959,2,Bobby Darin,Mack the Knife,adult standards easy listening lounge,adult standards, easy listening, lounge,248,133,0,2,1
1959,3,Lloyd Price,Personality,adult standards doo-wop louisiana blues,adult standards, doo-wop, louisiana blues,291,49,0,0,1
1959,4,Frankie Avalon,Venus,adult standards bubblegum pop doo-wop,adult standards, bubblegum pop, doo-wop,175,71,0,2,4
1959,5,Paul Anka,Lonely Boy,adult standards canadian pop easy listening,adult standards, canadian pop, easy listening,168,66,0,2,4
1959,6,Bobby Darin,Dream Lover,adult standards easy listening lounge,adult standards, easy listening, lounge,304,79,0,0,1
1959,7,The Browns,The Three Bells,deep adult standards nashville sound vocal harmony group,deep adult standards, nashville sound, vocal harmony group,232,106,0,2,4
1959,8,The Fleetwoods,Come Softly to Me,adult standards doo-wop rock-and-roll,adult standards, doo-wop, rock-and-roll,314,51,0,0,1
1959,9,Wilbert Harrison,Kansas City,rhythm and blues rock-and-roll,rhythm and blues, rock-and-roll,,221,71,0,2,4
1959,10,The Fleetwoods,Mr. Blue,adult standards doo-wop rock-and-roll,adult standards, doo-wop, rock-and-roll,206,84,0,2,4
1959,11,Santo & Johnny,Sleep Walk,space age pop surf music,space age pop, surf music,,1,1,0,2,4
1959,12,Paul Anka,Put Your Head on My Shoulder,adult standards canadian pop easy listening,adult standards, canadian pop, easy listening,157,68,0,2,4
1959,13,Lloyd Price,Stagger Lee,adult standards doo-wop louisiana blues,adult standards, doo-wop, louisiana blues,299,118,0,0,1
1959,14,Ritchie Valens,Donna,adult standards rock-and-roll rockabilly,adult standards, rock-and-roll, rockabilly,169,50,0,2,4
1959,15,Dodie Stevens,Pink Shoe Laces,deep adult standards,deep adult standards,,,321,117,0,0,1
1959,16,The Platters,Smoke Gets in Your Eyes,adult standards doo-wop easy listening,adult standards, doo-wop, easy listening,137,75,0,2,4
1959,17,The Coasters,Charlie Brown,adult standards bubblegum pop doo-wop,adult standards, bubblegum pop, doo-wop,223,63,0,2,4
1959,18,Martin Denny,Quiet Village,easy listening exotica lounge,easy listening, exotica, lounge,79,42,0,2,4
1959,19,Carl Dobkins Jr.,My Heart Is an Open Book,deep adult standards,deep adult standards,,,215,47,0,2,4
1959,20,The Everly Brothers,(Till) I Kissed You,adult standards bubblegum pop lounge,adult standards, bubblegum pop, lounge,216,60,0,2,4
1959,21,Phil Phillips,Sea of Love,doo-wop,doo-wop,,,131,28,0,2,4
