Year,Chart,Negative,Neutral,Positive,Compound
1959,1,0.394,0.606,0.0,-0.3818
1959,2,0.0,1.0,0.0,0.0
1959,3,0.0,1.0,0.0,0.0
1959,4,0.0,1.0,0.0,0.0
1959,5,0.714,0.286,0.0,-0.3612
1959,6,0.0,0.0,1.0,0.7003
1959,7,0.0,1.0,0.0,0.0
1959,8,0.0,1.0,0.0,0.0
1959,9,0.0,1.0,0.0,0.0
1959,10,0.0,1.0,0.0,0.0
1959,11,0.0,1.0,0.0,0.0
1959,12,0.0,1.0,0.0,0.0
1959,13,0.0,1.0,0.0,0.0
1959,14,0.0,1.0,0.0,0.0
1959,15,0.0,1.0,0.0,0.0
1959,16,0.0,1.0,0.0,0.0
1959,17,0.0,1.0,0.0,0.0
1959,18,0.0,1.0,0.0,0.0
1959,19,0.0,1.0,0.0,0.0
1959,20,0.0,0.435,0.565,0.3818
1959,21,0.0,0.323,0.677,0.6369
1959,22,0.0,0.351,0.649,0.5719
1959,23,0.0,1.0,0.0,0.0
1959,24,0.178,0.822,0.0,-0.0772
1959,25,0.0,0.323,0.677,0.6369
1959,26,0.0,1.0,0.0,0.0
1959,27,0.0,0.784,0.216,0.0258
1959,28,0.0,1.0,0.0,0.0
1959,29,0.0,1.0,0.0,0.0
1959,30,0.0,0.417,0.583,0.6369
1959,31,0.0,1.0,0.0,0.0
1959,32,0.0,1.0,0.0,0.0
1959,33,0.0,1.0,0.0,0.0
1959,34,0.326,0.674,0.0,-0.4404
1959,35,0.0,1.0,0.0,0.0
1959,36,0.0,1.0,0.0,0.0
1959,37,0.0,1.0,0.0,0.0
1959,38,1.0,0.0,0.0,-0.6597
1959,39,0.0,0.217,0.783,0.5574
1959,40,0.0,1.0,0.0,0.0
1959,41,0.0,1.0,0.0,0.0
1959,42,0.0,1.0,0.0,0.0
1959,43,0.0,1.0,0.0,0.0
1959,44,0.0,0.417,0.583,0.6369
1959,45,0.0,1.0,0.0,0.0
1959,46,0.0,1.0,0.0,0.0
1959,47,0.0,1.0,0.0,0.0
1959,48,0.0,0.385,0.615,0.1531
1959,49,0.714,0.286,0.0,-0.3612
1959,50,0.0,1.0,0.0,0.0
1959,51,0.608,0.392,0.0,-0.4767
1959,52,0.0,1.0,0.0,0.0
1959,53,0.0,1.0,0.0,0.0
1959,54,0.778,0.222,0.0,-0.5423
1959,55,0.535,0.465,0.0,-0.3182
1959,56,0.714,0.286,0.0,-0.3612
1959,57,0.0,1.0,0.0,0.0
1959,58,0.467,0.533,0.0,-0.5423
1959,59,0.0,1.0,0.0,0.0
1959,60,0.524,0.476,0.0,-0.296
1959,61,0.0,1.0,0.0,0.0
1959,62,0.0,1.0,0.0,0.0
1959,63,0.722,0.278,0.0,-0.3818
1959,64,0.0,0.0,1.0,0.3818
1959,65,0.0,1.0,0.0,0.0
1959,66,0.0,1.0,0.0,0.0
1959,67,0.0,1.0,0.0,0.0
1959,68,0.0,0.755,0.245,0.0772
1959,69,0.0,0.323,0.677,0.2716
1959,70,0.0,1.0,0.0,0.0
1959,71,0.0,1.0,0.0,0.0
1959,72,0.0,1.0,0.0,0.0
1959,73,0.0,1.0,0.0,0.0
1959,74,0.0,1.0,0.0,0.0
1959,75,0.0,1.0,0.0,0.0
1959,76,0.0,1.0,0.0,0.0
1959,77,0.0,1.0,0.0,0.0
1959,78,0.0,1.0,0.0,0.0
1959,79,0.0,1.0,0.0,0.0
1959,80,0.0,1.0,0.0,0.0
1959,81,0.0,1.0,0.0,0.0
1959,82,0.0,1.0,0.0,0.0
1959,83,0.0,1.0,0.0,0.0
1959,84,0.0,1.0,0.0,0.0
1959,85,0.0,1.0,0.0,0.0
1959,86,0.0,1.0,0.0,0.0
1959,87,0.0,1.0,0.0,0.0
1959,88,0.0,0.698,0.302,0.0772
1959,89,0.0,1.0,0.0,0.0
1959,90,0.0,0.543,0.457,0.6369
1959,91,0.0,0.489,0.511,0.2716
1959,92,0.0,1.0,0.0,0.0
1959,93,0.0,0.267,0.733,0.6705
1959,94,0.0,1.0,0.0,0.0
1959,95,0.0,1.0,0.0,0.0
1959,96,0.0,1.0,0.0,0.0
1959,97,0.342,0.658,0.0,-0.3818
1959,98,0.0,1.0,0.0,0.0
1959,99,0.0,1.0,0.0,0.0
1959,100,0.0,1.0,0.0,0.0
1960,1,0.0,1.0,0.0,0.0
1960,2,0.0,1.0,0.0,0.0
