33,1989,Wild Thing,Tone Loc
34,1989,When I See You Smile,Bad English
35,1989,If I Could Turn Back Time,Cher
36,1989,Buffalo Stance,Neneh Cherry
37,1989,When I'm with You,Sheriff
38,1989,Don't Rush Me,Taylor Dayne
39,1989,Born to Be My Baby,Bon Jovi
40,1989,Good Thing,Fine Young Cannibals
41,1989,The Lover in Me,Sheena Easton
42,1989,Bust a Move,Young MC
43,1989,"Once Bitten, Twice Shy",Great White
44,1989,Batdance,Prince
45,1989,Rock On,Michael Damian
46,1989,Real Love,Jody Watley
47,1989,Love Shack,The B-52s
48,1989,Every Little Step,Bobby Brown
49,1989,Hangin' Tough,New Kids on the Block
50,1989,My Heart Can't Tell You No,Rod Stewart
51,1989,So Alive,Love and Rockets
52,1989,You Got It (The Right Stuff),New Kids on the Block
53,1989,Armageddon It,Def Leppard
54,1989,Satisfied,Richard Marx
55,1989,Express Yourself,Madonna
56,1989,I Like It,Dino
57,1989,Soldier of Love,Donny Osmond
58,1989,Sowing the Seeds of Love,Tears for Fears
59,1989,Cherish,Madonna
60,1989,When the Children Cry,White Lion
61,1989,18 and Life,Skid Row
62,1989,I Don't Want Your Love,Duran Duran
63,1989,Second Chance,.38 Special
64,1989,The Way You Love Me,Karyn White
65,1989,Funky Cold Medina,Tone Loc
66,1989,In Your Room,The Bangles
67,1989,Miss You Like Crazy,Natalie Cole
68,1989,Lovesong,The Cure
69,1989,Secret Rendezvous,Karyn White
70,1989,Angel Eyes,The Jeff Healey Band
71,1989,Patience,Guns N' Roses
72,1989,Walk on Water,Eddie Money
73,1989,Cover Girl,New Kids on the Block
74,1989,Welcome to the Jungle,Guns N' Roses
75,1989,Shower Me With Your Love,Surface
76,1989,Stand,R.E.M.
77,1989,Close My Eyes Forever,Lita Ford and Ozzy Osbourne
78,1989,All This Time,Tiffany
79,1989,After All,Cher and Peter Cetera
80,1989,Roni,Bobby Brown
81,1989,Love in an Elevator,Aerosmith
82,1989,Lay Your Hands on Me,Bon Jovi
83,1989,The Promise,When in Rome
84,1989,What I Am,Edie Brickell & New Bohemians
85,1989,I Remember Holding You,Boys Club
86,1989,Paradise City,Guns N' Roses
87,1989,I Wanna Have Some Fun,Samantha Fox
88,1989,She Wants to Dance with Me,Rick Astley
89,1989,Dreamin',Vanessa Williams
90,1989,It's No Crime,Babyface
91,1989,Poison,Alice Cooper
92,1989,This Time I Know It's for Real,Donna Summer
93,1989,Smooth Criminal,Michael Jackson
94,1989,Heaven Help Me,Deon Estus
95,1989,Rock Wit'cha,Bobby Brown
96,1989,Thinking of You,Sa-Fire
97,1989,What You Don't Know,Expose
98,1989,Surrender To Me,Ann Wilson and Robin Zander
99,1989,The End of the Innocence,Don Henley
100,1989,Keep on Movin',Soul II Soul
1,1990,Hold On,Wilson Phillips
2,1990,It Must Have Been Love,Roxette
3,1990,Nothing Compares 2 U,Sinead O'Connor
4,1990,Poison,Bell Biv DeVoe
5,1990,Vogue,Madonna
6,1990,Vision of Love,Mariah Carey
7,1990,Another Day in Paradise,Phil Collins
8,1990,Hold On,En Vogue
9,1990,Cradle of Love,Billy Idol
10,1990,Blaze of Glory,Jon Bon Jovi
11,1990,Do Me!,Bell Biv DeVoe
12,1990,How Am I Supposed to Live Without You,Michael Bolton
13,1990,Pump Up the Jam,Technotronic
14,1990,Opposites Attract,Paula Abdul and The Wild Pair
15,1990,Escapade,Janet Jackson
16,1990,All I Wanna Do Is Make Love to You,Heart
17,1990,Close to You,Maxi Priest
18,1990,Black Velvet,Alannah Myles
19,1990,Release Me,Wilson Phillips
20,1990,Don't Know Much,Linda Ronstadt and Aaron Neville
21,1990,All Around the World,Lisa Stansfield
22,1990,I Wanna Be Rich,Calloway
23,1990,Rub You the Right Way,Johnny Gill
24,1990,She Ain't Worth It,Glenn Medeiros and Bobby Brown
25,1990,If Wishes Came True,Sweet Sensation
26,1990,The Power,Snap!
27,1990,(Can't Live Without Your) Love and Affection,Nelson
28,1990,Love Will Lead You Back,Taylor Dayne
29,1990,Don't Wanna Fall in Love,Jane Child
30,1990,Two to Make It Right,Seduction
31,1990,Sending All My Love,Linear
32,1990,Unskinny Bop,Poison
33,1990,Step by Step,New Kids on the Block
34,1990,Dangerous,Roxette
35,1990,We Didn't Start the Fire,Billy Joel
36,1990,I Don't Have the Heart,James Ingram
37,1990,Downtown Train,Rod Stewart
38,1990,Rhythm Nation,Janet Jackson
39,1990,I'll Be Your Everything,Tommy Page
40,1990,Roam,The B-52s
41,1990,Everything,Jody Watley
42,1990,Back to Life (However Do You Want Me),Soul II Soul featuring Caron Wheeler
43,1990,Here and Now,Luther Vandross
44,1990,Alright,Janet Jackson
45,1990,Ice Ice Baby,Vanilla Ice
46,1990,Blame It on the Rain,Milli Vanilli
47,1990,Have You Seen Her,MC Hammer
48,1990,With Every Beat of My Heart,Taylor Dayne
49,1990,Come Back to Me,Janet Jackson
50,1990,No More Lies,Michel'le
51,1990,Praying for Time,George Michael
52,1990,How Can We Be Lovers,Michael Bolton
53,1990,Do You Remember,Phil Collins
54,1990,Ready or Not,After 7
55,1990,U Can't Touch This,MC Hammer
56,1990,I Wish It Would Rain Down,Phil Collins
57,1990,Just Between You and Me,Lou Gramm
58,1990,Something Happened on the Way to Heaven,Phil Collins
59,1990,Black Cat,Janet Jackson
60,1990,Can't Stop,After 7
